#### Each pair is (time, position)
Movement number 1
5.0672;18998.0000
5.0832;18998.0000
5.0872;18996.0000
5.1032;18996.0000
5.1072;18994.0000
5.1232;18995.0000
5.1272;18997.0000
5.1432;18995.0000
5.1472;18993.0000
5.1632;18997.0000
5.1672;18999.0000
5.1832;18997.0000
5.1872;18998.0000
5.2033;18999.0000
5.2072;18998.0000
5.2232;18998.0000
5.2272;18998.0000
5.2432;18998.0000
5.2469;18997.0000
5.2632;19000.0000
5.2672;18999.0000
5.2832;19000.0000
5.3032;18999.0000
5.3072;18995.0000
5.3232;18997.0000
5.3272;18997.0000
5.3432;18996.0000
5.3472;18996.0000
5.3632;18997.0000
5.3672;18995.0000
5.3832;18998.0000
5.4032;18994.0000
5.4072;18995.0000
5.4232;18999.0000
5.4272;18997.0000
5.4432;18997.0000
5.4472;18999.0000
5.4632;18996.0000
5.4672;18994.0000
5.4832;18996.0000
5.5032;18997.0000
5.5072;18995.0000
5.5232;18997.0000
5.5272;18996.0000
5.5432;18998.0000
5.5472;19001.0000
5.5632;18999.0000
5.5672;18997.0000
5.5832;18999.0000
5.5872;18998.0000
5.6032;18999.0000
5.6072;19000.0000
5.6232;18999.0000
5.6272;18997.0000
5.6432;18998.0000
5.6472;18999.0000
5.6632;19000.0000
5.6672;18998.0000
5.6832;19001.0000
5.6872;18999.0000
5.7032;18998.0000
5.7072;18997.0000
5.7233;18998.0000
5.7272;18999.0000
5.7429;18996.0000
5.7472;18994.0000
5.7632;18991.0000
5.7672;18990.0000
5.7832;18992.0000
5.7872;18989.0000
5.8032;18984.0000
5.8232;18984.0000
5.8272;18980.0000
5.8432;18982.0000
5.8472;18981.0000
5.8632;18978.0000
5.8672;18979.0000
5.8832;18979.0000
5.8872;18978.0000
5.9032;18980.0000
5.9232;18981.0000
5.9272;18978.0000
5.9432;18982.0000
5.9472;18979.0000
5.9632;18978.0000
5.9672;18979.0000
5.9832;18981.0000
5.9872;18980.0000
6.0032;18977.0000
6.0072;18983.0000
6.0232;18982.0000
6.0272;18980.0000
6.0432;18983.0000
6.0472;18984.0000
6.0632;18979.0000
6.0672;18982.0000
6.0832;18982.0000
6.0872;18982.0000
6.0952;18984.0000
6.1152;18985.0000
6.1192;18983.0000
6.1352;18983.0000
6.1392;18984.0000
6.1552;18981.0000
6.1592;18982.0000
6.1753;18983.0000
6.1792;18982.0000
6.1952;18980.0000
6.1992;18982.0000
6.2152;18981.0000
6.2192;18980.0000
6.2352;18982.0000
6.2389;18983.0000
6.2552;18980.0000
6.2592;18982.0000
6.2752;18983.0000
6.2792;18981.0000
6.2952;18979.0000
6.2992;18980.0000
6.3152;18980.0000
6.3192;18978.0000
6.3352;18977.0000
6.3392;18966.0000
6.3552;18925.0000
6.3592;18844.0000
6.3752;18793.0000
Movement number 2
7.7872;4163.0000
7.7912;4160.0000
7.8072;4161.0000
7.8112;4161.0000
7.8272;4176.0000
7.8312;4282.0000
7.8472;4502.0000
7.8512;4808.0000
7.8673;5160.0000
7.8712;5589.0000
7.8872;6078.0000
7.8912;6626.0000
7.9072;7221.0000
7.9112;7866.0000
7.9272;8519.0000
7.9312;9215.0000
7.9472;10664.0000
7.9672;11386.0000
7.9712;12095.0000
7.9872;12755.0000
7.9912;13376.0000
8.0072;13960.0000
8.0112;14489.0000
8.0272;14987.0000
8.0312;15462.0000
8.0472;15922.0000
8.0512;16369.0000
8.0673;16784.0000
8.0712;17214.0000
8.0872;17587.0000
8.0912;17927.0000
8.1072;18223.0000
8.1112;18460.0000
8.1272;18651.0000
8.1312;18797.0000
8.1472;18998.0000
8.1672;19069.0000
8.1712;19114.0000
8.1872;19128.0000
8.1912;19132.0000
8.2072;19131.0000
8.2112;19129.0000
8.2272;19131.0000
8.2312;19133.0000
8.2472;19132.0000
8.2512;19130.0000
8.2672;19132.0000
8.2712;19135.0000
8.2872;19143.0000
8.2912;19167.0000
8.3072;19189.0000
8.3112;19202.0000
8.3272;19202.0000
8.3312;19201.0000
8.3472;19199.0000
8.3512;19199.0000
8.3672;19197.0000
8.3712;19191.0000
8.3872;19169.0000
8.3912;19146.0000
8.4072;19108.0000
8.4112;19070.0000
8.4272;19044.0000
8.4312;19031.0000
8.4472;19017.0000
8.4512;19011.0000
8.4672;18997.0000
8.4872;18990.0000
8.4912;18987.0000
8.5072;18981.0000
8.5112;18973.0000
8.5272;18968.0000
8.5312;18961.0000
8.5472;18953.0000
8.5512;18952.0000
8.5672;18951.0000
8.5712;18944.0000
8.5872;18945.0000
8.5912;18949.0000
8.6072;18947.0000
8.6112;18946.0000
8.6272;18948.0000
8.6312;18949.0000
8.6472;18946.0000
8.6512;18949.0000
8.6672;18949.0000
8.6712;18949.0000
8.6872;18949.0000
8.6912;18949.0000
8.7074;18947.0000
8.7112;18950.0000
8.7272;18951.0000
8.7312;18949.0000
8.7472;18948.0000
8.7512;18950.0000
8.7672;18952.0000
8.7712;18948.0000
8.7872;18950.0000
8.8072;18950.0000
8.8112;18951.0000
8.8272;18950.0000
8.8312;18950.0000
8.8472;18949.0000
8.8512;18954.0000
8.8672;18954.0000
8.8712;18952.0000
8.8792;18953.0000
8.8992;18949.0000
8.9032;18950.0000
8.9192;18952.0000
8.9232;18952.0000
8.9392;18951.0000
8.9432;18951.0000
8.9593;18951.0000
8.9632;18952.0000
8.9792;18953.0000
8.9832;18958.0000
8.9992;18956.0000
9.0032;18952.0000
9.0192;18957.0000
9.0232;18957.0000
9.0392;18956.0000
9.0432;18958.0000
9.0593;18960.0000
9.0632;18956.0000
9.0792;18956.0000
9.0832;18959.0000
9.0992;18956.0000
9.1032;18957.0000
9.1192;18957.0000
9.1232;18956.0000
9.1392;18958.0000
9.1592;18957.0000
9.1632;18955.0000
9.1792;18958.0000
9.1832;18959.0000
9.1992;18956.0000
9.2032;18961.0000
9.2192;18966.0000
9.2232;18972.0000
9.2392;18987.0000
9.2592;18988.0000
9.2632;18989.0000
9.2792;18994.0000
9.2832;18991.0000
9.2992;18993.0000
9.3032;18997.0000
9.3192;18996.0000
9.3232;18994.0000
9.3392;18994.0000
9.3592;18993.0000
9.3632;18994.0000
9.3792;18995.0000
9.3832;18994.0000
9.3992;18994.0000
