#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-55.015581,100,15.070055
-47.312576,100,15.094915
-45.029816,100,15.112502
-57.829676,100,15.136303
-7.543595,17,15.139549
-57.959524,100,15.157029
-52.333784,100,15.177969
-48.072757,100,15.200777
-52.945538,100,15.220168
-48.383343,100,15.24341
-46.877432,100,15.262113
-48.513993,100,15.286697
-48.8882,100,16.027956
-47.730671,100,16.04511
-50.975742,100,16.061592
-48.117618,100,16.093126
-57.552228,100,16.111201
-67.12875,100,16.138563
-50.653032,100,16.159109
-53.279701,100,16.169585
-53.255771,100,16.201018
-41.390064,100,16.219981
-48.079447,100,16.244668
-50.410726,100,16.269596
-55.28953,100,16.286352
-39.685926,100,16.303451
-57.919841,100,16.328316
-39.382111,100,16.346712
-57.990016,100,16.365682
-69.645737,100,16.386613
-70.125763,100,16.414169
-54.878816,100,16.438838
-51.168678,100,16.462013
-41.440149,100,17.238582
-48.377276,100,17.256173
-52.57705,100,17.26984
-51.078841,100,17.295761
-43.255508,100,17.318577
-50.440078,100,17.337485
-46.375238,100,17.358202
-46.954643,100,17.38238
-51.380837,100,17.411783
-43.379133,100,17.428618
-47.210251,100,17.445151
-54.274907,100,17.462077
-51.678154,100,17.478493
-54.048272,100,17.497846
-47.976357,100,17.528702
-52.519567,100,17.547396
-4.8e-05,1,17.547396
-56.86915,100,17.565182
-46.687292,100,17.578029
-51.581803,100,17.598906
-56.203602,100,17.616352
-44.684921,100,18.309106
-50.939013,100,18.32028
-56.282028,100,18.343699
-46.079732,100,18.371115
-48.927145,100,18.386771
-44.805514,100,18.403423
-47.80652,100,18.420556
-49.656331,100,18.453367
-57.520154,100,18.475591
-51.48174,100,18.49475
-55.394615,100,18.522915
-48.822133,100,18.54577
-55.021363,100,18.565994
-44.229489,100,18.586971
-49.982887,100,18.654319
-48.292361,100,18.669803
-55.471624,100,18.698122
-3.600286,4,18.699122
-48.375405,100,18.7176
-44.419282,90,18.741665
-55.879929,100,18.759267
-50.196912,100,18.778538
-44.13095,100,19.467551
-46.058389,100,19.490768
-48.28765,100,19.511431
-51.253212,100,19.528094
-49.687789,100,19.545419
-51.457977,100,19.569752
-42.270322,100,19.596982
-51.428786,100,19.617732
-51.844535,100,19.628076
-48.826297,100,19.653112
-50.618295,100,19.670192
-51.066552,100,19.698304
-48.388524,100,19.720742
-50.895227,100,19.738677
-49.418543,100,19.7564
-38.434899,100,19.770318
-45.116244,100,19.786818
-43.037243,100,19.803468
-48.890369,100,19.830731
-48.023791,100,19.853583
-47.650438,100,20.519824
-47.167225,100,20.538631
-46.359155,100,20.555531
-44.053363,100,20.578478
-49.274257,100,20.603634
-41.773564,100,20.628132
-49.325002,100,20.647619
-3.600286,4,20.647619
-46.832707,100,20.662422
-39.093618,100,20.686526
-50.133991,100,20.714477
-51.926268,100,20.738814
-46.019816,100,20.76171
-43.072969,100,20.778648
-54.518812,100,20.802081
-42.264347,100,20.820009
-50.501345,100,20.843682
-44.012173,100,20.865114
-39.479639,100,20.884278
-39.034513,100,20.903398
-51.115813,100,20.92039
-47.195399,100,20.945519
-41.40744,100,21.687717
-44.357303,100,21.716261
-46.435816,100,21.736536
-40.558308,100,21.754405
-43.546782,100,21.769828
-52.129308,100,21.792744
-48.858223,100,21.820391
-52.277578,100,21.839823
-40.431045,100,21.856443
-42.505546,100,21.880516
-48.236858,100,21.902272
-45.152563,100,21.923415
-47.041591,100,21.940758
-49.85684,100,21.958456
-43.202393,100,21.979315
